name,model,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20
"BM25(k_1=0.8, b=0.1)",BM25,0.3062,0.5477,0.3168,0.2195,0.7426,0.3549,0.4026
"BM25(k_1=1.2, b=0.0)",BM25,0.3058,0.5499,0.315,0.2195,0.7435,0.3547,0.405
"BM25(k_1=1.0, b=0.0)",BM25,0.3046,0.5515,0.3133,0.2186,0.7416,0.3545,0.4052
"BM25(k_1=0.6, b=0.2)",BM25,0.3035,0.5385,0.308,0.2177,0.7402,0.3493,0.4011
"BM25(k_1=0.8, b=0.0)",BM25,0.3019,0.542,0.3097,0.2159,0.7378,0.3502,0.4001
"BM25(k_1=0.4, b=0.4)",BM25,0.3017,0.5394,0.3044,0.2168,0.7303,0.3472,0.3957
"BM25(k_1=0.6, b=0.1)",BM25,0.2995,0.5369,0.3027,0.2177,0.7399,0.3478,0.3947
"BM25(k_1=0.4, b=0.3)",BM25,0.2993,0.5307,0.3044,0.2142,0.7291,0.3443,0.3919
"BM25(k_1=0.4, b=0.2)",BM25,0.2957,0.5296,0.2991,0.2133,0.7291,0.3421,0.3857
"BM25(k_1=0.6, b=0.0)",BM25,0.2952,0.5304,0.3044,0.2142,0.7359,0.3442,0.3905
"BM25(k_1=0.4, b=0.1)",BM25,0.2912,0.5226,0.2956,0.2142,0.7291,0.3396,0.3817
"BM25(k_1=0.4, b=0.0)",BM25,0.2889,0.524,0.2903,0.2115,0.7252,0.3383,0.3797
